epoch	iter	running_loss	lr	loss_classifier	loss_box_reg	loss_mask	loss_objectness	loss_rpn_box_reg
8	0	2.247292	0.000106	0.562727	1.083643	0.295667	0.175104	0.130151
8	100	2.725610	0.000104	1.085649	2.241618	0.472742	0.091607	0.157373
8	200	2.722556	0.000102	0.610416	1.806117	0.579718	0.180824	0.556276
8	300	2.689979	0.000099	1.342404	2.493427	0.383431	0.069389	0.242313
8	400	2.612368	0.000097	0.596648	1.810567	0.471842	0.163743	0.155090
8	500	2.610651	0.000095	0.407403	0.801856	0.273561	0.146499	0.350276
8	600	2.633215	0.000093	1.009117	1.599516	0.331053	0.158314	0.614966
8	700	2.619685	0.000091	1.029191	1.945319	0.623226	0.110972	0.172609
8	800	2.597709	0.000089	0.249578	1.465025	0.385445	0.273649	0.746348
8	900	2.589023	0.000087	0.202683	0.457341	0.456573	0.878921	0.341734
8	1000	2.601673	0.000085	0.309372	1.240938	0.384945	0.102559	0.177092
8	1100	2.598033	0.000083	0.221180	0.885070	0.487767	0.102347	0.326998
8	1200	2.586733	0.000081	1.210523	1.386820	0.467636	0.288708	0.301317
8	1300	2.592222	0.000079	0.145159	0.927507	0.496579	0.489961	0.523682
8	1400	2.597641	0.000077	0.161332	0.790523	0.418220	0.078158	0.144385
8	1500	2.603666	0.000075	0.427093	2.123628	0.210791	0.124255	0.053945
8	1600	2.607089	0.000073	0.114543	0.051934	0.426246	0.118006	0.137461
8	1700	2.613570	0.000071	0.402961	0.988593	0.496852	0.557180	0.421047
8	1800	2.608909	0.000069	0.689105	1.108957	0.329128	0.134841	0.174019
8	1900	2.601366	0.000067	0.310377	1.253586	0.574387	0.115796	0.343758
8	2000	2.589884	0.000065	0.997714	0.781877	0.211693	0.041795	0.340741
8	2066	2.590465	0.000064	0.515951	2.176650	0.545054	0.129770	0.238626
9	0	2.545261	0.000064	0.108913	1.985829	0.331836	0.076880	0.041803
9	100	2.700765	0.000062	0.132601	0.164448	0.235507	0.141375	0.558672
9	200	2.605370	0.000060	0.139164	0.012515	0.469748	0.051409	0.347212
9	300	2.600256	0.000058	0.857688	1.614054	0.449096	0.067955	0.492737
9	400	2.582991	0.000057	0.293322	1.319668	0.583421	0.115644	0.245272
9	500	2.564209	0.000055	0.447452	0.792431	0.233275	0.076027	0.249342
9	600	2.546310	0.000053	0.129274	0.306165	0.407615	0.131351	0.266605
9	700	2.568170	0.000052	0.811504	1.419647	0.431911	0.222724	0.268882
9	800	2.559902	0.000050	0.070531	0.044555	0.388052	0.059087	0.305965
9	900	2.560518	0.000048	0.462328	1.592357	0.493016	0.319674	0.536322
9	1000	2.578143	0.000047	0.967608	2.088615	0.442486	0.303449	0.292833
9	1100	2.569280	0.000045	0.457002	1.014165	0.282876	0.073116	0.333150
9	1200	2.576076	0.000044	0.489144	1.322104	0.509205	0.451742	0.479825
9	1300	2.584828	0.000042	0.379916	1.211767	0.308057	0.101777	0.154994
9	1400	2.593523	0.000041	0.824983	0.830360	0.281911	0.132871	0.270269
9	1500	2.597432	0.000039	0.165407	1.064465	0.429967	0.080677	0.187615
9	1600	2.602838	0.000038	1.236534	2.162998	0.441256	0.225201	0.323189
9	1700	2.596757	0.000036	0.231667	1.407177	0.401901	0.168928	0.244659
9	1800	2.596831	0.000035	0.418080	0.359560	0.544517	0.098565	0.282840
9	1900	2.592481	0.000034	0.274392	1.460427	0.330569	0.070816	0.294243
9	2000	2.588539	0.000032	0.233092	0.900153	0.381498	0.090979	0.339031
9	2066	2.594306	0.000031	0.110068	0.005819	0.422794	0.089990	0.181217
