epoch	iter	running_loss	lr	loss_classifier	loss_box_reg	loss_mask	loss_objectness	loss_rpn_box_reg
0	0	11.271670	0.000005	4.578629	3.665933	1.174862	0.898381	0.953865
0	100	7.131115	0.000101	1.317072	2.805091	0.774828	0.285449	0.413162
0	200	5.628300	0.000197	1.273881	2.714944	0.640107	0.245779	0.510023
0	300	4.860716	0.000293	1.325427	2.629745	0.692254	0.221045	0.335074
0	400	4.545322	0.000388	0.910703	1.886158	0.646135	0.287805	0.280840
0	500	4.363667	0.000400	0.139229	0.143436	0.646312	0.325401	0.599609
0	600	4.284868	0.000400	1.315345	2.468339	0.662682	0.711699	0.801022
0	700	4.243833	0.000400	1.349486	3.543013	0.699328	0.162460	0.252096
0	800	4.179145	0.000400	0.809287	2.159592	0.658806	0.405895	1.087578
0	900	4.172481	0.000400	0.648293	1.280578	0.644202	1.283316	0.454095
0	1000	4.172646	0.000399	0.698117	2.579085	0.552159	0.182915	0.310954
0	1100	4.135870	0.000399	0.499896	2.562631	0.641786	0.210514	1.041072
0	1200	4.107193	0.000399	0.978722	1.893491	0.702575	0.486657	0.464560
0	1300	4.106907	0.000399	0.401745	2.623302	0.625441	0.664578	0.493811
0	1400	4.094634	0.000398	0.394148	3.224480	0.659232	0.234760	0.463038
0	1500	4.081937	0.000398	0.691106	2.793417	0.688370	0.225392	0.183008
0	1600	4.057390	0.000398	0.146375	0.120385	0.705295	0.186144	0.243708
0	1700	4.027470	0.000397	1.212925	2.077989	0.665415	0.495925	0.529735
0	1800	4.016381	0.000397	0.671406	2.429287	0.530066	0.233270	0.258559
0	1900	3.994102	0.000396	0.107136	0.215164	0.600432	0.165486	1.110678
0	2000	3.959715	0.000396	0.144411	0.085295	0.542281	0.197830	0.608617
0	2066	3.940799	0.000396	0.740725	2.544169	0.608670	0.251716	0.451566
1	0	3.085059	0.000396	0.533348	1.734918	0.620456	0.134913	0.061424
1	100	3.640916	0.000395	0.255284	1.802628	0.619783	0.267356	0.487171
1	200	3.452520	0.000394	0.089170	0.023127	0.539492	0.195317	0.334324
1	300	3.170034	0.000394	1.064435	2.768528	0.619011	0.149870	0.681528
1	400	3.231587	0.000393	0.727459	2.725957	0.642883	0.164227	0.309453
1	500	3.248314	0.000392	0.362690	2.154810	0.536218	0.105777	0.369010
1	600	3.301732	0.000392	0.258478	0.944882	0.534556	0.303682	0.311253
1	700	3.336689	0.000391	1.321699	2.396149	0.672515	0.414082	0.477820
1	800	3.292289	0.000390	0.093870	0.037711	0.552695	0.103834	0.418904
1	900	3.306580	0.000389	0.738818	0.641750	0.628674	1.658171	1.000914
1	1000	3.304531	0.000389	1.132431	2.334717	0.624039	0.230197	0.697488
